zolai	english	translations	cefr	example
bunk-bed	n. lupna nih leh thum khat tunga khat kiciang., lupna nih leh thum khat tunga khat kiciang	n. lupna nih leh thum khat tunga khat kiciang. | lupna nih leh thum khat tunga khat kiciang | bunk-bed	C2	
bunker	(n.) လောင်စာသိုမှီးထားသည့်ပုံး၊ သေတ္တာစသည့်။ စစ်ကာလအတွင်းအသုံးပြုရန်မြေအောက်ဗုံးခိုကျင်း။ ဂေါက်ကွင်းတွင်သဲဖြည့်ထားသည့်ဟောင်းလောင်းပေါက်။	(n.) လောင်စာသိုမှီးထားသည့်ပုံး၊ သေတ္တာစသည့်။ စစ်ကာလအတွင်းအသုံးပြုရန်မြေအောက်ဗုံးခိုကျင်း။ ဂေါက်ကွင်းတွင်သဲဖြည့်ထားသည့်ဟောင်းလောင်းပေါက်။	C2	Tom leh Mary bunker sungah om uhi.
bunkum	(n.) အဓိပ္ပါယ်မရှိသောစကား။ အလုပ်။	(n.) အဓိပ္ပါယ်မရှိသောစကား။ အလုပ်။	C2	
bunny	(n.) ယုန်ကလေး။	(n.) ယုန်ကလေး။	C2	Ka itnu bunny bangci hiam?
buns	mihing tawbo, buns	mihing tawbo | buns | n. mihing tawbo.	C2	Buns leh gamsa kinei khin hi.
bunsen	bunsen, bunsen meivak bung	bunsen | bunsen meivak bung	C2	Calcium, Bunsen burner tawh lumkhum ciangin, mei vaktuang a san-kang hi.
bunt	v. kii tawh sii (bawng kisii), tawh sii (bawng kisii)	v. kii tawh sii (bawng kisii) | tawh sii (bawng kisii) | kii tawh sii (bawng kisii) | bunting	C2	Manager pa in baseball tum pa tungah bunt bawl ding
bunting	(n.) တေးဆိုငှက်ငယ်။ အလှတပ်ဆင်သည့်အလံများ။	(n.) တေးဆိုငှက်ငယ်။ အလှတပ်ဆင်သည့်အလံများ။	C2	Hiai ka kisuan ma-in indigo bunting vasia ka mu ngei
bunzo	sword	sword | layeth | cannot | hold	C2	Namsau tawh a kisut hangin bunzo vetlo
buoy	(n) tui laptheih akikoih, tui in a lapna	(n) tui laptheih akikoih, tui in a lapna	C2	Yacht pen buoy khat kual-in leng hi.
buoyancy	(n) tuilapding a om, tuilapna	(n) tuilapding a om, tuilapna	C2	
buoyant	(n) tui a kilam, tui in a lap	(n) tui a kilam, tui in a lap	C2	
bupah	burnt	burnt | offering | hath | mighty	C2	na biakna tau tungah bawngtalte hong kipia ding hi.
bupkhat	taches	taches | curtains | another | became	C2	Amaute in kham kilhna sawmnga bawlin
buplo	heart	heart | perfect | walked | sins	C2	pa' khialhna khempeuh amah in zui hi. A pusawn David
buppiak	members	members | servants | iniquity | because	C2	nuntakna siangtho nei ta un.
buprestid	buprestid, n. sialkhum namkhat.	buprestid | n. sialkhum namkhat. | sialkhum namkhat	C2	
buptuah	amalgamate		C2	Nuai suk daakbu lasim nuam leuleu in,seng sia buptuah khat sungah guangin
bupun	house	house | god | word | mercy	C2	note' langkhata { Topa' } thugen
bupzuak	to give in wholesale	to give in wholesale	C2	
bur	burr	burr	C2	Go Suum Piang BA(Bur), B
bur-r	sing-gah nam khat mibel a nung ta, bur-r	sing-gah nam khat mibel a nung ta | bur-r	C2	
burberry	burberry, guahdal puan tung silh	burberry | guahdal puan tung silh | Burberry	C2	
burden	(n) vang gik, puak gik; vangik puak	(n) vang gik, puak gik; vangik puak	C2	Tua in inntekte burden piapia suak thei hi.
burdensome	(a) van giksak, lunggimhuai	(a) van giksak, lunggimhuai	C2	
bureau	(n) laigelhna sabuai, lupna dei a zat ding singkuang dawh theih, thu lakkhopna zum	(n) laigelhna sabuai, lupna dei a zat ding singkuang dawh theih, thu lakkhopna zum	C2	Census Bureau, 2001.) These statistics are troubling.
bureaucracy	(n) zum nasem mite ukna, zumsunga nasep kip a nei mite vawihawmna, gambup vai zum sunga nasep kipneite saina	(n) zum nasem mite ukna, zumsunga nasep kip a nei mite vawihawmna, gambup vai zum sunga nasep kipneite saina	C2	Bureaucracy kua phuah khia hiam?
bureaucrat	(n.): zum nasem gambup vaihawmna lenmi; kumpi milian; department tuamtuam encik mi	(n.): zum nasem gambup vaihawmna lenmi; kumpi milian; department tuamtuam encik mi	C2	Bureaucrat khat peuh in ama theihkhialhna tawh na theih ding laite
bureaucratic	(adj.) ဗျူရိုကရေစီ (ဆန်သော)။ ဗျူရိုကရေစီနှင့် ပတ်သက်သော။ ဗျူရိုကရက် (ဆန်သော)။ (often derogatory)	(adj.) ဗျူရိုကရေစီ (ဆန်သော)။ ဗျူရိုကရေစီနှင့် ပတ်သက်သော။ ဗျူရိုကရက် (ဆန်သော)။ (often derogatory)	C2	Bureaucratic leader: A kigelh or kigeelna omsa bang lianlianin na sem.
burette	buret kici a tui teh na limlang tawng, burette	buret kici a tui teh na limlang tawng | burette	C2	
burg	khuapi khuapi lian, burger hamburger	khuapi khuapi lian | burger hamburger | kulhnei khuapi, a gaalmuanga kingaihsun khua | a ki-uum khuapi kulhnei khuapi a gaalmuanga kingaihsun khua	C2	U Zaw Zaw cihte pawl hi.
burgee	burgee, tembaw tunga dialkhai/puanlap nam khat	burgee | tembaw tunga dialkhai/puanlap nam khat | n. tembaw tunga dialkhai/puanlap nam khat.	C2	
burgeon	(v.) လျင်မြန်စွာကြီးထွား၊များပြားလာသည်။	(v.) လျင်မြန်စွာကြီးထွား၊များပြားလာသည်။	C2	
burger	(n.) ဝက်အူချောင်း၊ အစာသွတ်ပေါင်မုန့်။	(n.) ဝက်အူချောင်း၊ အစာသွတ်ပေါင်မုန့်။	C2	Burger nek ka lunglut hi.
burger
hamburger	burg	burg	C2	
burgess	gam mi taktak hih na a nei mi, burgess	gam mi taktak hih na a nei mi | burgess | khuapi khat hiam, University khat hiam taanga ding mi | British gam ki-ukna-a gamke hiam khuapi khat hiam, University khat hiam taanga ding mi	C2	“Myanmar” in The New International Dictionary of Pentecostal Charismatic Movements
burgh	khuapi, burgher	khuapi | burgher | burgh	C2	The Rhur Cannibal cih khawng leh The Duis Burgh Man
burgher	(n.) မြို့သူမြို့သား၊ မြို့တော်သူမြို့တော်သား။	(n.) မြို့သူမြို့သား၊ မြို့တော်သူမြို့တော်သား။	C2	
burgla	burglar	burglar	C2	
burglar	(n) inn luhmi, zan kimlai a mi-in vut let a van gu-mi	(n) inn luhmi, zan kimlai a mi-in vut let a van gu-mi	C2	Tua innluh Burglar pen Indonesian gammi hiding in ki ummawh ci hi.
burglary	(n) zankim zan khanga mi inn luhna	(n) zankim zan khanga mi inn luhna	C2	zukham ankham in vakvaina “Burglary
burgle	(v) inn balsia gawp a luh, van-te-gu	(v) inn balsia gawp a luh, van-te-gu	C2	
burgomaster	khuapi ukpi, burgomaster	khuapi ukpi | burgomaster	C2	
burgonet	burgonet	n. kum zalom 16 lai-a kikhu thei lukhu (lu tuamna) nam khat. | burgonet | zalom 16 lai-a kikhu thei lukhu (lu tuamna) nam khat | kum zalom 16 lai-a kikhu thei lukhu (lu tuamna) nam khat	C2	
burgoo	buhciim a tui om pha lo-a ha nihneh, buh, sa leh anteh kihuan khawm (mehpok) sa taangciim	buhciim a tui om pha lo-a ha nihneh, buh, sa leh anteh kihuan khawm (mehpok) sa taangciim | buhciim a tui om pha lo-a ha nihneh buh sa leh anteh kihuan khawm (mehpok) sa taangciim | n. buhciim a tui om pha lo-a ha nihneh, buh, sa leh anteh kihuan khawm (mehpok) sa taangciim.s | burgoo	C2	
burgundy	(n.) အနီရောင်ဝိုင်။အနီရင့်ရောင်။	(n.) အနီရောင်ဝိုင်။အနီရင့်ရောင်။	C2	Hih burgundy Henley shirt small om hiam?
burial	(n) misi phumna	(n) misi phumna	C2	I imagined myself at Hi s burial
burier	n. misite a vuuitu., misite a vuuitu	n. misite a vuuitu. | misite a vuuitu | burier	C2	Mi kivui (burier) leh mi kivui (buried) kha
burin	a let nading muntak nguuma zol napi’n a dawn lam a zuma hiam suang vanzat namkhat	a let nading muntak nguuma zol napi’n a dawn lam a zuma hiam suang vanzat namkhat | let nading muntak nguuma zol napi'n a dawn lam a zuma hiam suang vanzat namkhat | n. a let nading muntak nguuma zol napi'n a dawn lam a zuma hiam suang vanzat namkhat. | burin	C2	
burke	(v.): huih ngah loh sakna tawh mi that si sak, a sih khit nunga a luang zuak ; daai taka kihepsan hiau	(v.): huih ngah loh sakna tawh mi that si sak, a sih khit nunga a luang zuak ; daai taka kihepsan hiau	C2	Kristen Burke leh Juncheng Qian pen kha guk kalin khen
burlap	(n.): ippi khau; ippi leh innphah (carpet) nuailama kizangh ippi khaaute	(n.): ippi khau; ippi leh innphah (carpet) nuailama kizangh ippi khaaute	C2	
burlesque	(n.) ရယ်စရာအနေဖြင့်ပုံကြီးချဲ့အတုခိုးခြင်း။	(n.) ရယ်စရာအနေဖြင့်ပုံကြီးချဲ့အတုခိုးခြင်း။	C2	Drag show-te a burlesque hi.
burly	(adj.) (ယောကျ်ား)ထွားကြိုင်း၍သန်မာသော။	(adj.) (ယောကျ်ား)ထွားကြိုင်း၍သန်မာသော။	C2	
burma	(n) Kawlram.	(n) Kawlram.	C2	com/ethnicity-in-the-gospel-of-matthew-with-its-application-to-ethnic-issues-in-burma/", "depth": 0, "zolai_score": 0.
burman	(n) kol hlang, kolnam.	(n) kol hlang, kolnam.	C2	Linguistics of the Tibeto-Burman Area
burmese	(n) kawl minamte, kawlpau	(n) kawl minamte, kawlpau	C2	1 Zolai, Burmese, Latin, etc.
burn	(v) hal, kangsak; (n) luineu, meikatna	(v) hal, kangsak; (n) luineu, meikatna	C2	First-degree burn na damisakzia na thei hiam?
burn
divorce	khul	khul	C2	
burner	(n.) မီးဖို၊ မီးအိမ်၏အစိတ်အပိုင်းတစ်ခု(မီးတောက်ထွက်သည့်အစိတ်အပိုင်း)။	(n.) မီးဖို၊ မီးအိမ်၏အစိတ်အပိုင်းတစ်ခု(မီးတောက်ထွက်သည့်အစိတ်အပိုင်း)။	C2	Ka burner account zang-in post dingin ka mangngilh hi.
burning	(adj.) ပြင်းထန်သော။ အရေးကြီး၍အလျင်အမြန်လိုအပ်သော။	(adj.) ပြင်းထန်သော။ အရေးကြီး၍အလျင်အမြန်လိုအပ်သော။	C2	Tom Burning Man ah pai hi.
burnish	(v) nawtneel, nawtnaal, nawtzol	(v) nawtneel, nawtnaal, nawtzol	C2	
burnouse	Arab minamte silh lukhuhna om puan tualpi, burnouse	Arab minamte silh lukhuhna om puan tualpi | burnouse	C2	
burnt	(pt) halzo, kangzo	(pt) halzo, kangzo	C2	The combat took two years from later part of 1917
burp	burp, mei khu pusuahna sa ikna	burp | mei khu pusuahna sa ikna	C2	Tom uak (burp) hi.
burr	(n.) “r” အသံကိုအလေးအနက်ထွက်ခြင်း၊ လူ၏အဝတ်အစား၊ တိရစာ္ဆန်၏အမွေးအမျှင်များတွင်အစေ့အိမ်များတွယ်ကပ်စေသည့်အပင်ငယ်တစ်မျိုး။	(n.) “r” အသံကိုအလေးအနက်ထွက်ခြင်း၊ လူ၏အဝတ်အစား၊ တိရစာ္ဆန်၏အမွေးအမျှင်များတွင်အစေ့အိမ်များတွယ်ကပ်စေသည့်အပင်ငယ်တစ်မျိုး။	C2	Burr in a lawmte mangpha khak hi.
burrow	(n) bilpikua, zusa kua, leihawm	(n) bilpikua, zusa kua, leihawm	C2	“Burrow in gam puahpha kik ding hi.
burrow
tunnel
mine
cave	leihawm	leihawm	C2	
bursar	bursar	bursar | college khawnga sumkeemtu, Scotland leh Canada-ah saang kah nadinga kumpi panpihna sum, ~y n | bursary | kawleihsang sumkem huhna ngah kawleih sang naupang	C2	Bursar kiang pan email ka ngah a, $100 hong kiknawn ding hi.
bursary	(n.) ပညာသင်ကြားလေ့လာရန်ထောက်ပံ့ခြင်း။ တက္ကသိုလ်ဘဏ္ဍာထိန်း၏ရုံး။	(n.) ပညာသင်ကြားလေ့လာရန်ထောက်ပံ့ခြင်း။ တက္ကသိုလ်ဘဏ္ဍာထိန်း၏ရုံး။	C2	
bursitis	batsam gei leh kawngbo gei natna, bursitis	batsam gei leh kawngbo gei natna | bursitis | n. batsam gei leh kawngbo gei natna.	C2	Bursitis pen bursa khuakhuatna ahi hi.
burst	(v) tamzaan gawp, kitamkham, cimgawp	(v) tamzaan gawp, kitamkham, cimgawp	C2	
burthen	van lom tang, burthen	van lom tang | burthen	C2	
bury	(v) phum, leisungah phum	(v) phum, leisungah phum	C2	
bus	(n) khualzinte tuanna mawtaw, bas, tutphah nuamtaka kibulh mawtaw	(n) khualzinte tuanna mawtaw, bas, tutphah nuamtaka kibulh mawtaw	C2	Tua pen Bus khawlna hi.
busak	wait	wait | man | die | live	C2	“Filistia mite in nang hong hih
busby	(n.) စစ်ရေးပြအခမ်းအနားတွင်ဆောင်းသည့်သိုးမွေးဦးထုပ်ရှည်။	(n.) စစ်ရေးပြအခမ်းအနားတွင်ဆောင်းသည့်သိုးမွေးဦးထုပ်ရှည်။	C2	Cindy Busby pen Canada gammi lem-itnu khat hi.
bush	(n) sawlbawk, singsawl bawk	(n) sawlbawk, singsawl bawk	C2	Bush in Pasian a um.
bush
shrub	sawlbawk	sawlbawk	C2	
bushbaby	(n.) (also bush baby) အကောင်ငယ်၍မျက်လုံးကြီးသည့်အာဖရိကမှနို့တိုက်သည့်သတ္တဝါတစ်မျိုး။	(n.) (also bush baby) အကောင်ငယ်၍မျက်လုံးကြီးသည့်အာဖရိကမှနို့တိုက်သည့်သတ္တဝါတစ်မျိုး။	C2	
bushed	(adj.): sawl lak a mang banga lungmang; gim lua; tha neihteng beimang	(adj.): sawl lak a mang banga lungmang; gim lua; tha neihteng beimang	C2	
bushel	(n.): seeng, numeite puak ciing leh naang tawh a bita kiphan antang khawng puak theih nading seeng	(n.): seeng, numeite puak ciing leh naang tawh a bita kiphan antang khawng puak theih nading seeng	C2	
bushing	(n.) motor siik kigawi ding daalna-a kizopna munte-a kithuah buangnaai	(n.) motor siik kigawi ding daalna-a kizopna munte-a kithuah buangnaai	C2	
bushman	(n.): Australia gama saben tawh a kivaak sawlbawk mite; kilahai sehneel gama om mite	(n.): Australia gama saben tawh a kivaak sawlbawk mite; kilahai sehneel gama om mite	C2	
bushy	(a) bawkpha, sawlbawk pha	(a) bawkpha, sawlbawk pha	C2	Ka nawi'i mei a lian
busily	(adv.): အလုပ်ရှုပ်လျက်။	(adv.): အလုပ်ရှုပ်လျက်။	C2	
businesslike	(adj.) အရည်အချင်းပြည့်၍လက်တွေ့ကျသော။	(adj.) အရည်အချင်းပြည့်၍လက်တွေ့ကျသော။	C2	
businessman	(n) sum meet bawlpa, sumsinpa	(n) sum meet bawlpa, sumsinpa	C2	Sc (Business IT) Businessman-Kawlpi ah om
businesswoman	(n.) စီးပွားရေးသမား(မ)။ စီးပွားရေးလုပ်ငန်းရှင်။ အထူးသဖြင့် ကုမ္ပဏီမန်နေဂျာ။ [pl. -men ] စီးပွားရေး လာဘ်မြင်သူ။	(n.) စီးပွားရေးသမား(မ)။ စီးပွားရေးလုပ်ငန်းရှင်။ အထူးသဖြင့် ကုမ္ပဏီမန်နေဂျာ။ [pl. -men ] စီးပွားရေး လာဘ်မြင်သူ။	C2	Atanu pen Businesswoman khat ahi hi.
busk	(n) khualai a sum zonna a muut ging hiam tum ging khat peuh a hihpa	(n) khualai a sum zonna a muut ging hiam tum ging khat peuh a hihpa	C2	
buske	busker	busker	C2	
busker	(n) khualai tum ging hih siampa	(n) khualai tum ging hih siampa	C2	
buskin	buskin, khuuk cianga pha khedap kuum	buskin | khuuk cianga pha khedap kuum | n. khuuk cianga pha khedap kuum.	C2	
busman	saimi, n. bus saimi.	saimi | n. bus saimi. | busman | bus saimi	C2	
buss	(n.): kitawp ging dakdakna	(n.): kitawp ging dakdakna	C2	Hiaha ding mite buss a ngak uh hi.
bust	(n) awm, mihingawm, ak liatna, numeite awm a liatna tehna; (n) police tunga puak, police mansak; (a) tam, leitam kham, puakkham	(n) awm, mihingawm, ak liatna, numeite awm a liatna tehna; (n) police tunga puak, police mansak; (a) tam, leitam kham, puakkham	C2	Choose your size based on your bust circumference
bustard	vasa gol namkhat, n. vasa gol namkhat.	vasa gol namkhat | n. vasa gol namkhat. | bustard | a gol a tai hat vasa	C2	Kori bustard pen leitung ah vasa leng thei lakah
buster	(n) a kitam khamsakpa, a botkeekpa	(n) a kitam khamsakpa, a botkeekpa	C2	Clifford Lamb with Cindy Blackman Santana Buster Williams - Bridges (2016)
bustier	bustier	bustier | kawng ciang pha-a kigaak phitphet numeite' puan sung silh | kawng ciang pha-a kigaak phitphet numeite’ puan sung silh | n. kawng ciang pha-a kigaak phitphet numeite' puan sung silh.	C2	
bustl	bustle	bustle	C2	
bustle	(n.): 1. awn ruri le khulrang ih cangvai. 2.nunau kor dunglam pawngtertu thildan.	(n.): 1. awn ruri le khulrang ih cangvai. 2.nunau kor dunglam pawngtertu thildan.	C2	
busy	(a) manlah, omkhong lo, nasem a buai hehu	(a) manlah, omkhong lo, nasem a buai hehu	C2	Hiai kalin amah busy mahmah hi.
busybody	(n.) ဝင်ရှုပ်သူ။	(n.) ဝင်ရှုပ်သူ။	C2	
but	(conj) ahihhangin, hitamah leh zong, ahitazongin; (prep) cih loh, sim loh; (adv) bek, lian; all but dek tak	(conj) ahihhangin, hitamah leh zong, ahitazongin; (prep) cih loh, sim loh; (adv) bek, lian; all but dek tak	C2	I but i phel hi.
butane	(n.) လောင်စာအရည်ပုံစံဖြင့်သုံးရသောမီးလောင်တတ်သည့်ဓါတ်ငွေ့။	(n.) လောင်စာအရည်ပုံစံဖြင့်သုံးရသောမီးလောင်တတ်သည့်ဓါတ်ငွေ့။	C2	Butane tank i suan ding hi.
butch	(adj.) အလွန်အမင်းယောကျ်ားဆန်သော။	(adj.) အလွန်အမင်းယောကျ်ားဆန်သော။	C2	
butcher	(n) zuak dingsa go mi, sa go in sa seh zuakmi	(n) zuak dingsa go mi, sa go in sa seh zuakmi	C2	Yesterday it was a butcher shop.
butchery	(n) sazuakna	(n) sazuakna	C2	
butler	(n.) inn sunga anneek tuidawn lam sai inn, naseem lian pen	(n.) inn sunga anneek tuidawn lam sai inn, naseem lian pen	C2	Butler in nitak an vaihawm hi.
butt	(n) meithal kawng.	(n) meithal kawng.	C2	Butt rock ka hua hi.
butt-insky	midang thu a va saisai mi khatpeuh, butt-insky	midang thu a va saisai mi khatpeuh | butt-insky | n. midang thu a va saisai mi khatpeuh.	C2	
butte	butte, zaang kuam laka mualneu khat guak a tang pote	butte | zaang kuam laka mualneu khat guak a tang pote | n. zaang kuam laka mualneu khat guak a tang pote.	C2	Hih kamis tungah butte khui in.
butter	(n) bawngnawi khal, bawngnawi thau, thawh bat	(n) bawngnawi khal, bawngnawi thau, thawh bat	C2	Khau (butter) hong pia dih.
butter-ball	mi thau, n. mi thau.	mi thau | n. mi thau. | thau | butter-ball	C2	
butter-fly	kaau, butter-fly	kaau | butter-fly | kaau, (pengpeleek a ci zongh ki-om) | n. kaau, (pengpeleek a ci zongh ki-om)	C2	
buttercup	(n.) အဝါရောင်ခွက်ပုံသဏ္ဍာန်အပွင့်များပွင့်သည့်အပင်။	(n.) အဝါရောင်ခွက်ပုံသဏ္ဍာန်အပွင့်များပွင့်သည့်အပင်။	C2	Sakol te'n buttercup paktangte deih lo uh a; lopa lakah
butterfly	(n) kaupi, pangpaleek	(n) kaupi, pangpaleek	C2	Butterfly khitna ah na siam maw?
buttermilk	(n.): a makhan (a khirh) lak ttheh hnu ih a taangmi cawhnawi ti.	(n.): a makhan (a khirh) lak ttheh hnu ih a taangmi cawhnawi ti.	C2	Australia ah buttermilk kideih hiam?
butterscotch	(n.) ထောပတ်နှင့်သကြားနီတို့ရောစပ်၍ပြုလုပ်ထားသည့်အချိုပွဲတစ်မျိုး။	(n.) ထောပတ်နှင့်သကြားနီတို့ရောစပ်၍ပြုလုပ်ထားသည့်အချိုပွဲတစ်မျိုး။	C2	Butterscotch siam ka it!
buttery	kawleih sang ah neek leh dawn senna inn, buttery	kawleih sang ah neek leh dawn senna inn | buttery	C2	
button	(n) puankilhna, a meekna, (a vaaksakna ding hiam a mihsakna ding hiam a meekna-electric)	(n) puankilhna, a meekna, (a vaaksakna ding hiam a mihsakna ding hiam a meekna-electric)	C2	Aman button khial hmet hi.
buttonhole	(n.) ကြယ်သီးပေါက်။ ကြယ်သီးပေါက်တွင်ထိုးရသည့်ပန်းပွင့်။	(n.) ကြယ်သီးပေါက်။ ကြယ်သီးပေါက်တွင်ထိုးရသည့်ပန်းပွင့်။	C2	
buttons	bil pak	bil pak	C2	
buttress	(n) athuapna, akhauhsakna dinga thuapna, huhna, panpihna	(n) athuapna, akhauhsakna dinga thuapna, huhna, panpihna	C2	
buuk	booth	booth	C2	Ka ngaihno kei-a' hi a
buukkhuh	cough	cough	C2	
buukneu	cabana	cabana	C2	
buukneu
buukta	cabana	cabana	C2	
buukno	clachan	barrack	C2	Ka in pen buukno khat hi.
buukta	cabana	cabana	C2	
buulshit	uang geenna, n. dik lo, zuauthu geenna; uang geenna.	uang geenna | n. dik lo, zuauthu geenna; uang geenna. | buulshit | dik lo zuauthu geenna uang geenna	C2	
buxom	(a) numei thau leh cidam melpua	(a) numei thau leh cidam melpua	C2	
buy	(v) vanlei, lei	(v) vanlei, lei	C2	1.Khat BUY ME A COFFEE.
buyer	(n) a leipen, aleimi	(n) a leipen, aleimi	C2	
buzom
robast	cidam meel	cidam meel	C2	
buzz	(n) khuai kha ging	(n) khuai kha ging	C2	A tawlkhat sungin a lawm astronaut Edwin "Buzz" Aldrin in zui hi.
buzz-word	(n.) ခေတ်ဆန်၍လူသုံးများသည့်ပညာရပ်ဆိုင်ရာဝိသေသဝေါဟာရ၊အချက်ပေးစကား။	(n.) ခေတ်ဆန်၍လူသုံးများသည့်ပညာရပ်ဆိုင်ရာဝိသေသဝေါဟာရ၊အချက်ပေးစကား။	C2	
buzzard	(n.) သိမ်းငှက်တစ်မျိုး။	(n.) သိမ်းငှက်တစ်မျိုး။	C2	Buzzard vasa-te pen sa ne vasa-te ahi uh hi.
buzzer	(n.) ဝီဝီမြည်၍အချက်ပေးသည့်လျှပ်စစ်ကိရိယာတစ်မျိုး။	(n.) ဝီဝီမြည်၍အချက်ပေးသည့်လျှပ်စစ်ကိရိယာတစ်မျိုး။	C2	Buzzer ging lai veve hi.
buzzword	(n.) ခေတ်စားလာသောဝေါဟာရ။	(n.) ခေတ်စားလာသောဝေါဟာရ။	C2	
by	(prep) kiangah, bulah lianin (by 6 am=zingsang nai 6 lianin)	(prep) kiangah, bulah lianin (by 6 am=zingsang nai 6 lianin)	C2	Cope leh Zolai by G.S.
by-gone	adj. hun beisa; a beisa hun., by-gone	adj. hun beisa; a beisa hun. | by-gone | hun beisa a beisa hun | beisa	C2	
by-law	n. kipawlna khat ii omdan ding leh zuih dinga tua kipawlna mah in a bawl thukhamte.	n. kipawlna khat ii omdan ding leh zuih dinga tua kipawlna mah in a bawl thukhamte. | kipawlna khat ii omdan ding leh zuih dinga tua kipawlna mah in a bawl thukhamte | by-law bye-law | by-law	C2	
by-law
bye-law	by-law	by-law	C2	
by-pass	mitam na pelin a thak a kito lampigol, by-pass	mitam na pelin a thak a kito lampigol | by-pass	C2	
by-product	(n.) ပစ္စည်းတစ်ခုထုတ်လုပ်ရာတွင်ပေါ်ထွက်လာသည့်ဘေးထွက်ပစ္စည်း။	(n.) ပစ္စည်းတစ်ခုထုတ်လုပ်ရာတွင်ပေါ်ထွက်လာသည့်ဘေးထွက်ပစ္စည်း။	C2	
by-road	kitam zatlo lampi lam khawmbu, by-road	kitam zatlo lampi lam khawmbu | by-road	C2	
by-way	lam lianpi gei-a lampi neu, a ki zang lo mi theih a tawm lampi	lam lianpi gei-a lampi neu | a ki zang lo mi theih a tawm lampi | by-way | n. lam lianpi gei-a lampi neu.	C2	
by-word	etteh taak na khatpeuh, by-word	etteh taak na khatpeuh | by-word | paunaak kam etteh taak na khatpeuh | paunaak kam	C2	
bye	(exclam.) (good bye)	(exclam.) (good bye)	C2	Tu-in pai phot ning, bye!
bye-bye	(n): mangpha, omnuam, painuam; (naupangte tunga kizang kammal	(n): mangpha, omnuam, painuam; (naupangte tunga kizang kammal	C2	
bye-law	(n) zattangzang dinga kibawl ngeina, upadi, zuih ding	(n) zattangzang dinga kibawl ngeina, upadi, zuih ding	C2	
byelorussian	(adj.) ဘိုင်လိုရပ်ရှားနိုင်ငံ၊ ၄င်းလူမျိုး၊ ၄င်းဘာသာစကားနှင့်သက်ဆိုင်သော။	(adj.) ဘိုင်လိုရပ်ရှားနိုင်ငံ၊ ၄င်းလူမျိုး၊ ၄င်းဘာသာစကားနှင့်သက်ဆိုင်သော။	C2	
bygone	(adj.): abeisa, abei sa ahi	(adj.): abeisa, abei sa ahi	C2	They bygone immeasurable of its soldiers and in all respects
bylaw	(n) zattangzang dinga kibawl ngeina, upadi, zuih ding	(n) zattangzang dinga kibawl ngeina, upadi, zuih ding	C2	Thukhun bylaw maw Gupkhiatna Thu?
byline	(n.) ဆောင်းပါးရေးသူ၏အမည်ကိုဖော်ပြသည့်သတင်းစာထဲမှစာကြောင်းတစ်ကြောင်း။	(n.) ဆောင်းပါးရေးသူ၏အမည်ကိုဖော်ပြသည့်သတင်းစာထဲမှစာကြောင်းတစ်ကြောင်း။	C2	muh ciangin Mary lungdam mahmah hi.
byname	n. behmin; min neu., behmin	n. behmin; min neu. | behmin | behmin min neu | byname	C2	
bypass	(n.): apelhna, lampelhna, lamdawt; lam lianpi tawh kizawitawna om lam neu; lamtom; khuapi kiimkota pai lampi: pumpelhna lampi	(n.): apelhna, lampelhna, lamdawt; lam lianpi tawh kizawitawna om lam neu; lamtom; khuapi kiimkota pai lampi: pumpelhna lampi	C2	Tom bypass surgery kul hi.
bypath	bypath, kizangh lua lo lam neu	bypath | kizangh lua lo lam neu | lam neu lamkawmbu lampang | a kizangh lua lo lam neu	C2	
byplay	(n.) ပြဇာတ်တွင်အဓိကမဟုတ်သောသရုပ်ဆောင်မှု။	(n.) ပြဇာတ်တွင်အဓိကမဟုတ်သောသရုပ်ဆောင်မှု။	C2	
byproduct	a kibawlpi pen hi lo	a kibawlpi pen hi lo | na khat a kibawlna lama a kibawlkhe dang na tuamtuam a kibawlpi pen hi lo | khat a kibawlna lama a kibawlkhe dang na tuamtuam | byproduct	C2	Ones own behavio u r
byre	(n.) နွားတင်းကုပ်။	(n.) နွားတင်းကုပ်။	C2	
byroad	(n.): kongtlang mueh, longkaep longvai.	(n.): kongtlang mueh, longkaep longvai.	C2	
byssinosis	(n.) အထည်အလိပ်အမှုန်များကြောင့်ဖြစ်ရသည့်အဆုတ်ရောဂါ။	(n.) အထည်အလိပ်အမှုန်များကြောင့်ဖြစ်ရသည့်အဆုတ်ရောဂါ။	C2	
bystander	(n.): a gei-a dingte laka khat (a kihel hi lo) a en laka khat	(n.): a gei-a dingte laka khat (a kihel hi lo) a en laka khat	C2	
byte	(n.): thil pakhat simnak ih hmanmi nambat khuah.	(n.): thil pakhat simnak ih hmanmi nambat khuah.	C2	A standard byte pen bit giat hi.
byway	(n.): lamdawt, lam kizangphalo	(n.): lamdawt, lam kizangphalo	C2	
byword	(n.): paunaak kam; etteh taak na khatpeuh	(n.): paunaak kam; etteh taak na khatpeuh	C2	
byzantine	(adj.): (ယင်းနိုင်ငံ၏နိုင်ငံရေးကဲ့သို့) ရှုပ်ထွေးပွေလီ လျှို့ဝှက်သော၊ ပြောင်းလဲရန် ခက်ခဲသော။ [usu. derogatory]	(adj.): (ယင်းနိုင်ငံ၏နိုင်ငံရေးကဲ့သို့) ရှုပ်ထွေးပွေလီ လျှို့ဝှက်သော၊ ပြောင်းလဲရန် ခက်ခဲသော။ [usu. derogatory]	C2	Byzantine Empire pen thukhang bawlna khat hi.
